time niter trainloss trainerror testloss
0.029944 1000 12898.043945 0.905217 0.150750
0.043740 2000 10589.107422 0.904683 0.150583
0.057340 3000 8682.011719 0.903383 0.150117
0.071093 4000 7127.140137 0.901800 0.149800
0.084918 5000 5852.482910 0.899767 0.149600
0.099227 6000 4804.880371 0.896183 0.149317
0.113473 7000 3944.833252 0.891717 0.148533
0.127538 8000 3236.910889 0.886917 0.147883
0.141606 9000 2656.449707 0.880100 0.146850
0.155905 10000 2181.966064 0.873533 0.145700
0.170208 11000 1791.712036 0.865967 0.144450
0.184723 12000 1473.517822 0.857117 0.142933
0.198968 13000 1210.833862 0.847217 0.141167
0.213514 14000 995.626770 0.835083 0.139067
0.227886 15000 818.046204 0.820183 0.136500
0.242354 16000 672.426575 0.803917 0.133917
0.256578 17000 552.375916 0.785350 0.130650
0.270881 18000 453.549805 0.766383 0.127250
0.285268 19000 373.014099 0.743983 0.123483
0.299515 20000 306.479218 0.719250 0.119183
0.313882 21000 252.203171 0.690517 0.114500
0.328175 22000 207.638229 0.661217 0.109367
0.342652 23000 171.216904 0.630433 0.104250
0.357014 24000 141.211700 0.597083 0.098800
0.371433 25000 116.390076 0.561617 0.092667
0.385731 26000 96.022705 0.525600 0.086850
0.400093 27000 79.334854 0.489633 0.081167
0.414510 28000 65.610435 0.453600 0.075033
0.428773 29000 54.349548 0.420100 0.069500
0.443106 30000 45.127716 0.389983 0.064267
0.457754 31000 37.601944 0.363933 0.060083
0.472113 32000 31.355583 0.339233 0.055800
0.486527 33000 26.245039 0.319333 0.052550
0.500849 34000 22.048130 0.302617 0.049617
0.515172 35000 18.605751 0.289367 0.047333
0.529603 36000 15.774591 0.276900 0.044883
0.543880 37000 13.451609 0.266967 0.043183
0.558235 38000 11.538391 0.255767 0.041050
0.572770 39000 9.972854 0.248650 0.039917
0.586961 40000 8.676760 0.243383 0.038917
0.601238 41000 7.616274 0.236683 0.037933
0.615560 42000 6.745311 0.234400 0.037617
0.629933 43000 6.034380 0.229983 0.036700
0.644289 44000 5.447050 0.226217 0.035833
0.658427 45000 4.966512 0.226217 0.036133
0.672888 46000 4.574327 0.224900 0.035733
0.687559 47000 4.251746 0.223567 0.035550
0.701902 48000 3.985678 0.226133 0.035667
0.716349 49000 3.766397 0.222100 0.035050
0.730652 50000 3.586704 0.218783 0.034733
0.745003 51000 3.437793 0.215400 0.034233
0.759851 52000 3.317888 0.214867 0.033883
0.774453 53000 3.219120 0.215283 0.034033
0.789239 54000 3.137269 0.218450 0.034550
0.803690 55000 3.070370 0.219083 0.034700
0.818310 56000 3.015203 0.217817 0.034467
0.832640 57000 2.969482 0.217467 0.034300
0.847170 58000 2.932077 0.214550 0.033783
0.862001 59000 2.902827 0.215467 0.034267
0.876712 60000 2.877022 0.214733 0.034083
0.891322 61000 2.856863 0.215167 0.034000
0.906066 62000 2.840379 0.214617 0.033783
0.920526 63000 2.826367 0.215900 0.034083
0.935268 64000 2.815402 0.215500 0.034017
0.949844 65000 2.806726 0.215217 0.033750
0.964410 66000 2.798632 0.214000 0.033717
0.978890 67000 2.792166 0.212467 0.033350
0.993458 68000 2.787566 0.214367 0.033517
1.007744 69000 2.782948 0.213400 0.033483
1.022401 70000 2.779060 0.212933 0.033367
1.036856 71000 2.776304 0.215633 0.033867
1.051400 72000 2.774003 0.214750 0.033717
1.065939 73000 2.772105 0.214367 0.033767
1.080625 74000 2.769999 0.213883 0.033550
1.095109 75000 2.767670 0.214267 0.033800
1.109331 76000 2.766663 0.215833 0.034017
1.124130 77000 2.765216 0.217467 0.034083
1.138716 78000 2.765038 0.218367 0.034417
1.153301 79000 2.764992 0.218617 0.034333
1.168039 80000 2.764327 0.216133 0.033900
1.182417 81000 2.763911 0.216000 0.033850
1.196955 82000 2.763359 0.214417 0.033600
1.211380 83000 2.762976 0.213833 0.033483
1.226028 84000 2.762676 0.212517 0.033467
1.240579 85000 2.762522 0.213733 0.033667
1.255289 86000 2.761601 0.212200 0.033383
1.269819 87000 2.761691 0.214450 0.033617
1.284203 88000 2.761176 0.210333 0.033083
1.298664 89000 2.762585 0.212367 0.033267
1.313120 90000 2.763262 0.214867 0.033383
1.327345 91000 2.763378 0.214633 0.033583
1.341832 92000 2.762711 0.212450 0.033333
1.356445 93000 2.762189 0.210583 0.032917
1.370529 94000 2.763448 0.211533 0.033150
1.385151 95000 2.764566 0.213767 0.033533
1.399508 96000 2.765059 0.213183 0.033350
1.413898 97000 2.765544 0.213483 0.033583
1.428418 98000 2.765848 0.211150 0.033183
1.442973 99000 2.767531 0.215483 0.033933
1.457443 100000 2.766455 0.214850 0.033767
