time niter trainloss trainerror testloss
0.096937 1000 12992.831055 0.905333 0.150833
0.108233 2000 10787.484375 0.904617 0.150617
0.115444 3000 8943.131836 0.903833 0.150233
0.122560 4000 7408.351562 0.902550 0.149933
0.130104 5000 6140.796387 0.900250 0.149683
0.138388 6000 5068.110352 0.897000 0.149317
0.151387 7000 4187.168945 0.892817 0.148767
0.163683 8000 3458.176514 0.888050 0.148117
0.176867 9000 2864.112305 0.882300 0.147233
0.184185 10000 2366.968750 0.876117 0.146150
0.196313 11000 1954.338501 0.869733 0.145067
0.209982 12000 1620.567871 0.861600 0.143750
0.217435 13000 1340.733154 0.852517 0.142183
0.231026 14000 1106.979614 0.841367 0.139933
0.243917 15000 917.449158 0.828300 0.137933
0.256441 16000 759.909912 0.814150 0.135417
0.268940 17000 628.781555 0.798150 0.132733
0.276331 18000 520.295288 0.779583 0.129617
0.289471 19000 430.949799 0.759683 0.126150
0.302963 20000 355.816589 0.737483 0.122417
0.310913 21000 294.133331 0.712383 0.118100
0.318380 22000 243.331528 0.684633 0.113117
0.328060 23000 201.733444 0.655483 0.108400
0.341118 24000 167.419479 0.625500 0.103350
0.354002 25000 138.924484 0.593217 0.098200
0.361296 26000 115.733383 0.561583 0.092633
0.374351 27000 95.998199 0.526867 0.087283
0.386733 28000 79.998688 0.492017 0.081333
0.396216 29000 66.627007 0.456117 0.075467
0.403958 30000 55.568638 0.425883 0.070267
0.416963 31000 46.511593 0.395917 0.065133
0.429559 32000 39.001591 0.369533 0.060883
0.443550 33000 32.733219 0.344800 0.056800
0.450802 34000 27.611649 0.325567 0.053483
0.458143 35000 23.325771 0.308633 0.050533
0.466253 36000 19.776119 0.294850 0.048333
0.473593 37000 16.832769 0.282617 0.045933
0.486526 38000 14.418560 0.270200 0.043717
0.493927 39000 12.406021 0.259767 0.041883
0.506349 40000 10.727316 0.251400 0.040483
0.513689 41000 9.351166 0.244850 0.039067
0.526390 42000 8.227331 0.239083 0.038350
0.538723 43000 7.290045 0.235300 0.037583
0.546005 44000 6.504821 0.232483 0.036933
0.553276 45000 5.857083 0.229917 0.036667
0.560670 46000 5.322057 0.226117 0.036017
0.567981 47000 4.883816 0.221533 0.035167
0.575322 48000 4.519809 0.219200 0.034800
0.582691 49000 4.217698 0.218750 0.034750
0.590033 50000 3.967314 0.217383 0.034383
0.597366 51000 3.762266 0.217200 0.034450
0.610458 52000 3.590601 0.218483 0.034633
0.626459 53000 3.448004 0.217133 0.034233
0.643540 54000 3.331009 0.219867 0.034967
0.657051 55000 3.233173 0.217833 0.034367
0.669705 56000 3.152548 0.216850 0.034200
0.683708 57000 3.085458 0.215600 0.033817
0.697123 58000 3.030815 0.216183 0.033850
0.704404 59000 2.985063 0.218317 0.034367
0.715254 60000 2.946132 0.217367 0.034183
0.727683 61000 2.915025 0.216433 0.034067
0.735174 62000 2.889241 0.214033 0.033600
0.742620 63000 2.868503 0.215700 0.034017
0.749973 64000 2.850098 0.214500 0.033683
0.762598 65000 2.834507 0.212533 0.033350
0.769981 66000 2.821666 0.213450 0.033667
0.782879 67000 2.811681 0.211300 0.033250
0.790284 68000 2.803756 0.208650 0.032650
0.797744 69000 2.797372 0.211917 0.033183
0.805092 70000 2.791653 0.213667 0.033650
0.812528 71000 2.786559 0.212967 0.033400
0.825308 72000 2.782731 0.212467 0.033283
0.832746 73000 2.779116 0.211817 0.033100
0.840168 74000 2.775629 0.211983 0.033250
0.847649 75000 2.773470 0.211950 0.033150
0.860034 76000 2.771110 0.211133 0.033183
0.869347 77000 2.770528 0.214400 0.033700
0.881227 78000 2.770048 0.212467 0.033400
0.892733 79000 2.769327 0.212783 0.033433
0.900132 80000 2.769235 0.210350 0.033017
0.907640 81000 2.768350 0.211883 0.033367
0.915183 82000 2.766594 0.211917 0.033083
0.928428 83000 2.766692 0.213267 0.033550
0.935904 84000 2.766509 0.213450 0.033650
0.948377 85000 2.764627 0.211450 0.033067
0.955863 86000 2.765243 0.210650 0.033083
0.963348 87000 2.765172 0.214067 0.033617
0.970779 88000 2.765387 0.213300 0.033517
0.984478 89000 2.764122 0.211367 0.033017
0.992031 90000 2.764516 0.212067 0.033200
1.004539 91000 2.763894 0.211667 0.033100
1.016988 92000 2.762894 0.213183 0.033467
1.030464 93000 2.763271 0.213283 0.033350
1.037837 94000 2.764013 0.213083 0.033383
1.045361 95000 2.763827 0.213483 0.033283
1.052846 96000 2.764044 0.213600 0.033550
1.060376 97000 2.763694 0.210283 0.032833
1.067763 98000 2.762760 0.212733 0.033150
1.075169 99000 2.762839 0.212650 0.033267
1.082546 100000 2.763753 0.211983 0.033167
