time niter trainloss trainerror testloss
0.065511 1000 13168.208008 0.905067 0.150800
0.084045 2000 11035.289062 0.904600 0.150617
0.097986 3000 9262.209961 0.903417 0.150267
0.113805 4000 7762.523926 0.901750 0.149900
0.129622 5000 6513.227051 0.900083 0.149633
0.143013 6000 5469.987793 0.897933 0.149350
0.156553 7000 4595.534180 0.894050 0.148933
0.170086 8000 3862.480713 0.890017 0.148300
0.180191 9000 3236.738037 0.885567 0.147683
0.193164 10000 2713.562256 0.880200 0.146867
0.207098 11000 2273.472412 0.874100 0.145783
0.220454 12000 1909.645508 0.867383 0.144700
0.230478 13000 1603.393311 0.860633 0.143683
0.240599 14000 1341.307983 0.851633 0.141917
0.250565 15000 1125.403320 0.840583 0.139950
0.260459 16000 943.653259 0.829283 0.138133
0.270474 17000 790.951721 0.816167 0.135717
0.285881 18000 662.218140 0.801483 0.133417
0.295308 19000 558.436462 0.785917 0.130817
0.309726 20000 468.631042 0.769150 0.127883
0.326456 21000 393.565674 0.749233 0.124283
0.336119 22000 331.226624 0.727583 0.120517
0.345816 23000 278.468353 0.703150 0.116533
0.355679 24000 233.308517 0.677700 0.112167
0.365476 25000 196.121918 0.650183 0.107483
0.375112 26000 165.091553 0.622183 0.102933
0.384906 27000 138.985077 0.592633 0.097650
0.394295 28000 117.301437 0.561200 0.092783
0.403648 29000 99.024666 0.529317 0.087583
0.413512 30000 83.355507 0.496383 0.082300
0.423667 31000 70.252350 0.463883 0.076500
0.433821 32000 59.262497 0.432033 0.071467
0.449323 33000 50.084846 0.406217 0.066717
0.459112 34000 42.465443 0.380200 0.062433
0.468647 35000 36.180050 0.358717 0.059167
0.478297 36000 30.810402 0.337783 0.055533
0.488201 37000 26.300343 0.319667 0.052533
0.497865 38000 22.557512 0.304283 0.049600
0.507841 39000 19.346836 0.290817 0.047417
0.518477 40000 16.657078 0.278933 0.045250
0.530082 41000 14.422424 0.269550 0.043550
0.541551 42000 12.545209 0.260367 0.041817
0.552063 43000 10.951607 0.253800 0.040583
0.562240 44000 9.622362 0.246050 0.039100
0.572090 45000 8.513334 0.241417 0.038650
0.586859 46000 7.594081 0.236950 0.038133
0.599711 47000 6.812440 0.234567 0.037817
0.609682 48000 6.156534 0.230833 0.037050
0.619347 49000 5.607849 0.227217 0.036150
0.634791 50000 5.150067 0.223483 0.035433
0.647481 51000 4.761502 0.223733 0.035483
0.657713 52000 4.439400 0.223567 0.035400
0.667351 53000 4.172553 0.220450 0.034883
0.682918 54000 3.943354 0.219633 0.034600
0.696628 55000 3.754940 0.218350 0.034533
0.707566 56000 3.593895 0.215600 0.034033
0.717745 57000 3.459531 0.215050 0.033633
0.732872 58000 3.347346 0.215650 0.034017
0.742841 59000 3.253225 0.216650 0.034267
0.753066 60000 3.173411 0.215067 0.034067
0.767011 61000 3.107203 0.214033 0.033650
0.781034 62000 3.052105 0.215067 0.033867
0.790746 63000 3.005442 0.212817 0.033400
0.805875 64000 2.967104 0.214417 0.033817
0.817101 65000 2.933788 0.214767 0.033783
0.827641 66000 2.906645 0.213683 0.033633
0.837430 67000 2.883464 0.214850 0.033667
0.847383 68000 2.862661 0.213700 0.033167
0.862358 69000 2.846199 0.213100 0.033517
0.872528 70000 2.833525 0.213967 0.033617
0.888007 71000 2.822202 0.215350 0.033750
0.901423 72000 2.812131 0.213483 0.033583
0.911222 73000 2.803340 0.213367 0.033500
0.921649 74000 2.798383 0.215750 0.034017
0.932016 75000 2.792940 0.215933 0.033983
0.945543 76000 2.788868 0.214383 0.033633
0.955105 77000 2.783536 0.213367 0.033633
0.965315 78000 2.779767 0.214700 0.033833
0.975093 79000 2.778067 0.217017 0.034017
0.989399 80000 2.775198 0.214883 0.033683
1.002052 81000 2.773548 0.215700 0.034000
1.030632 82000 2.772103 0.214583 0.033667
1.053369 83000 2.769344 0.211767 0.033000
1.064566 84000 2.767633 0.211733 0.033083
1.076070 85000 2.767851 0.212417 0.033217
1.085840 86000 2.768088 0.214083 0.033783
1.095703 87000 2.767008 0.211650 0.032983
1.105610 88000 2.766617 0.213533 0.033367
1.115634 89000 2.765656 0.214133 0.033617
1.128925 90000 2.764330 0.213533 0.033367
1.138696 91000 2.763310 0.212617 0.033283
1.148451 92000 2.762420 0.210417 0.032900
1.163217 93000 2.763447 0.214417 0.033567
1.172682 94000 2.763700 0.211683 0.033250
1.189536 95000 2.763087 0.211800 0.033283
1.204846 96000 2.764144 0.213000 0.033500
1.215030 97000 2.763187 0.210867 0.033200
1.224721 98000 2.763076 0.211267 0.032933
1.234619 99000 2.763136 0.212767 0.033250
1.250212 100000 2.762971 0.212567 0.033083
