time niter trainloss trainerror testloss
0.081811 1000 13179.342773 0.905000 0.150767
0.102467 2000 11043.835938 0.904217 0.150567
0.116123 3000 9243.954102 0.903100 0.150200
0.129076 4000 7719.213379 0.901483 0.149733
0.144294 5000 6459.462402 0.900133 0.149683
0.155365 6000 5417.229492 0.897267 0.149283
0.170327 7000 4551.230469 0.893683 0.148800
0.184430 8000 3827.679199 0.889717 0.148367
0.197757 9000 3213.748047 0.884617 0.147567
0.212001 10000 2700.369873 0.879367 0.146650
0.224995 11000 2266.046631 0.873383 0.145683
0.235806 12000 1898.832764 0.865883 0.144517
0.248559 13000 1593.686157 0.859183 0.143283
0.264736 14000 1334.005859 0.850317 0.141717
0.274432 15000 1119.063232 0.839900 0.139867
0.287147 16000 941.544739 0.828200 0.138000
0.300963 17000 792.306030 0.815917 0.135700
0.313749 18000 664.890015 0.801733 0.133517
0.328044 19000 557.597961 0.786450 0.130900
0.341755 20000 468.798615 0.768767 0.127883
0.355275 21000 392.846649 0.748617 0.124217
0.365113 22000 328.324738 0.726333 0.120383
0.374943 23000 275.047943 0.701633 0.116417
0.384869 24000 230.237885 0.675400 0.111900
0.399441 25000 193.768158 0.648217 0.107000
0.413103 26000 163.160614 0.620833 0.102967
0.422943 27000 137.006882 0.590517 0.097783
0.436447 28000 115.345619 0.559900 0.092483
0.446421 29000 96.643013 0.526467 0.087133
0.455959 30000 81.527710 0.493717 0.081867
0.469191 31000 68.829979 0.462117 0.076317
0.478842 32000 58.147789 0.431683 0.071500
0.488609 33000 49.196331 0.405217 0.066967
0.501668 34000 41.781433 0.380017 0.062450
0.515116 35000 35.412884 0.354583 0.058533
0.528912 36000 30.146606 0.333983 0.055100
0.539551 37000 25.674709 0.315750 0.051750
0.549460 38000 21.975731 0.301717 0.049467
0.559750 39000 18.879929 0.288483 0.047033
0.569838 40000 16.251329 0.278033 0.045467
0.579602 41000 14.070634 0.266767 0.043283
0.589646 42000 12.223224 0.258450 0.041767
0.599195 43000 10.727250 0.252333 0.040317
0.608855 44000 9.439028 0.246000 0.039333
0.622904 45000 8.363008 0.240350 0.038500
0.637626 46000 7.465261 0.234450 0.037333
0.649801 47000 6.705820 0.230000 0.036517
0.664465 48000 6.070622 0.223783 0.035533
0.673785 49000 5.541365 0.224667 0.035683
0.683525 50000 5.093829 0.224800 0.035783
0.693742 51000 4.720134 0.224217 0.035817
0.706290 52000 4.403142 0.221033 0.035200
0.716215 53000 4.139454 0.221883 0.035350
0.725952 54000 3.917933 0.219850 0.035067
0.740753 55000 3.732533 0.217283 0.034600
0.750408 56000 3.575072 0.216083 0.034250
0.765589 57000 3.443759 0.216883 0.034083
0.775408 58000 3.332901 0.215700 0.034233
0.788762 59000 3.241964 0.217800 0.034450
0.798569 60000 3.164911 0.216483 0.034383
0.812857 61000 3.101040 0.216450 0.034217
0.823817 62000 3.045674 0.215517 0.033983
0.833679 63000 3.000484 0.216450 0.034267
0.844094 64000 2.961388 0.214400 0.033817
0.854401 65000 2.928639 0.213817 0.033833
0.864016 66000 2.900980 0.213533 0.033817
0.873644 67000 2.878625 0.214217 0.033883
0.887667 68000 2.860207 0.215217 0.033983
0.900932 69000 2.844613 0.214467 0.033817
0.918406 70000 2.830313 0.213900 0.033817
0.930269 71000 2.819400 0.214033 0.033567
0.943698 72000 2.809363 0.210783 0.033233
0.957277 73000 2.801829 0.211433 0.033317
0.967047 74000 2.794490 0.212333 0.033250
0.982208 75000 2.789547 0.211317 0.033367
0.996092 76000 2.785656 0.213100 0.033617
1.006173 77000 2.781173 0.210233 0.033117
1.015752 78000 2.777211 0.209283 0.032883
1.031025 79000 2.775431 0.211217 0.033050
1.043809 80000 2.774768 0.210967 0.032967
1.053502 81000 2.773666 0.211517 0.033167
1.067586 82000 2.771188 0.213200 0.033400
1.080256 83000 2.768840 0.213683 0.033567
1.095318 84000 2.767654 0.213983 0.033700
1.105126 85000 2.767135 0.214117 0.033550
1.115638 86000 2.766218 0.214667 0.033617
1.127427 87000 2.766164 0.215033 0.033533
1.141113 88000 2.765551 0.212883 0.033483
1.153581 89000 2.764302 0.212767 0.033500
1.163051 90000 2.764369 0.212600 0.033450
1.177860 91000 2.764874 0.212917 0.033383
1.192115 92000 2.764192 0.213750 0.033600
1.211001 93000 2.763524 0.210967 0.033100
1.221881 94000 2.763626 0.211317 0.033167
1.234533 95000 2.764112 0.211583 0.033083
1.249660 96000 2.764654 0.213833 0.033567
1.262918 97000 2.764406 0.212633 0.033383
1.275719 98000 2.763748 0.212933 0.033400
1.285285 99000 2.764280 0.214100 0.033817
1.300296 100000 2.765229 0.213550 0.033567
