time niter trainloss trainerror testloss
0.044272 1000 12852.487305 0.905350 0.150800
0.083770 2000 10519.130859 0.904750 0.150683
0.123274 3000 8609.224609 0.903050 0.150083
0.162792 4000 7045.922363 0.901783 0.149883
0.202309 5000 5766.367188 0.899217 0.149533
0.241816 6000 4719.118164 0.895700 0.149217
0.281347 7000 3861.979248 0.891217 0.148550
0.320894 8000 3160.481689 0.885817 0.147733
0.360413 9000 2586.374268 0.879367 0.146700
0.399896 10000 2116.568604 0.872700 0.145583
0.439384 11000 1732.121338 0.864450 0.144200
0.478887 12000 1417.531738 0.855600 0.142617
0.518421 13000 1160.135864 0.844433 0.140433
0.557984 14000 949.542419 0.831250 0.138400
0.597011 15000 777.256714 0.815700 0.135867
0.636058 16000 636.303284 0.799283 0.132867
0.675090 17000 520.990112 0.781033 0.129900
0.714142 18000 426.670166 0.760550 0.126350
0.753178 19000 349.516266 0.736333 0.122167
0.792229 20000 286.405243 0.709433 0.117817
0.831277 21000 234.777817 0.680433 0.112833
0.870319 22000 192.548660 0.649883 0.107350
0.909351 23000 158.006592 0.615717 0.101817
0.948394 24000 129.747055 0.580400 0.095967
0.987432 25000 106.636772 0.543083 0.089783
1.026495 26000 87.730904 0.507767 0.084150
1.065541 27000 72.267937 0.470950 0.077967
1.104634 28000 59.616795 0.435850 0.072100
1.143668 29000 49.268402 0.403433 0.066600
1.182724 30000 40.803970 0.373683 0.061817
1.221823 31000 33.880379 0.347333 0.057483
1.260866 32000 28.217592 0.325467 0.053450
1.299934 33000 23.585695 0.307683 0.050283
1.338974 34000 19.796280 0.291250 0.047567
1.378009 35000 16.695520 0.277783 0.044883
1.417046 36000 14.159756 0.266467 0.043017
1.456087 37000 12.085876 0.258383 0.041617
1.495190 38000 10.389103 0.248650 0.039417
1.534215 39000 9.001303 0.243100 0.038817
1.573253 40000 7.865603 0.237967 0.037867
1.612312 41000 6.937329 0.233567 0.037367
1.651324 42000 6.175975 0.230650 0.036867
1.690350 43000 5.554437 0.228100 0.036250
1.729382 44000 5.045286 0.224000 0.035683
1.768404 45000 4.629643 0.224350 0.035617
1.807414 46000 4.290146 0.221800 0.035083
1.846428 47000 4.011472 0.220750 0.035100
1.885477 48000 3.784564 0.218917 0.034817
1.924503 49000 3.597559 0.216467 0.034333
1.963558 50000 3.445727 0.217567 0.034600
2.002612 51000 3.321685 0.217617 0.034717
2.041641 52000 3.220810 0.218600 0.034683
2.080688 53000 3.138175 0.217250 0.034600
2.119706 54000 3.069763 0.216417 0.034333
2.158740 55000 3.014317 0.216667 0.034317
2.197763 56000 2.968096 0.214683 0.034017
2.236777 57000 2.930725 0.215883 0.034000
2.275784 58000 2.899973 0.213967 0.033717
2.314815 59000 2.875468 0.212000 0.033483
2.353860 60000 2.854615 0.211600 0.033450
2.392894 61000 2.837805 0.211317 0.033467
2.431898 62000 2.825826 0.216483 0.034100
2.470925 63000 2.813148 0.212733 0.033500
2.509922 64000 2.803478 0.213450 0.033667
2.548959 65000 2.796564 0.212817 0.033217
2.587977 66000 2.791413 0.214000 0.033550
2.626995 67000 2.786159 0.214500 0.033733
2.666018 68000 2.782088 0.213750 0.033667
2.705049 69000 2.778408 0.211500 0.033183
2.744068 70000 2.774879 0.210317 0.032850
2.783103 71000 2.772804 0.209917 0.032783
2.822119 72000 2.771729 0.211383 0.033217
2.861134 73000 2.770067 0.212533 0.033183
2.900154 74000 2.768401 0.212450 0.033183
2.939170 75000 2.767353 0.212800 0.033317
2.978206 76000 2.768296 0.215683 0.033817
3.017240 77000 2.768165 0.215883 0.033900
3.056281 78000 2.767542 0.215567 0.033783
3.095321 79000 2.766332 0.212933 0.033233
3.134362 80000 2.765360 0.211933 0.033250
3.173445 81000 2.765244 0.211450 0.033367
3.212486 82000 2.765027 0.211983 0.033167
3.251527 83000 2.764164 0.212983 0.033600
3.290569 84000 2.763860 0.214567 0.033450
3.329607 85000 2.764096 0.213750 0.033417
3.368640 86000 2.764520 0.213533 0.033400
3.407663 87000 2.763348 0.212233 0.033167
3.446692 88000 2.762874 0.210300 0.032800
3.485708 89000 2.763257 0.213367 0.033300
3.524727 90000 2.764404 0.215167 0.033583
3.563744 91000 2.763429 0.214950 0.033567
3.602754 92000 2.763297 0.213383 0.033500
3.641835 93000 2.763374 0.215417 0.033717
3.680834 94000 2.761821 0.213650 0.033533
3.719861 95000 2.763008 0.217733 0.034000
3.758884 96000 2.761914 0.215900 0.033617
3.797942 97000 2.761840 0.215867 0.033717
3.837036 98000 2.761977 0.214667 0.033800
3.876097 99000 2.761479 0.212683 0.033533
3.915161 100000 2.761168 0.212767 0.033550
